example_id,metadata,relation_type,entity_1,entity_2,content,tagged_sentence
0071a7ee-a50c-44ab-a562-d99bf06d7918,{'ID': '118_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},necessity,text,displayed over three lines,The text should be displayed over three lines.,The <e1>text</e1> should be <e2>displayed over three lines</e2>.
0085ecdd-f2f0-45f5-948d-ded697c69866,{'ID': '44_Finnish_Accessibility'},greater-equal,free space,800 millimetres,"In addition, on one side of the toilet seat there shall be a free space of at least 800 millimetres.","In addition, on one side of the toilet seat there shall be a <e1>free space</e1> of at least <e2>800 millimetres</e2>."
0085ecdd-f2f0-45f5-948d-ded697c69866,{'ID': '55_Finnish_Accessibility'},necessity,side,free space,"In addition, on one side of the toilet seat there shall be a free space of at least 800 millimetres.","In addition, on one <e1>side</e1> of the toilet seat there shall be a <e2>free space</e2> of at least 800 millimetres."
0096a3bf-ac16-4a75-adf9-8c3f4a9b8610,{'ID': '33_UK_DocQ_Security_Dwellings'},less-equal,dimension,230mm,The smaller dimension of each panel which can be either the width or height of the panel should be 230mm or less.,The smaller <e1>dimension</e1> of each panel which can be either the width or height of the panel should be <e2>230mm</e2> or less.
009e12eb-db83-485c-9ffc-e1f462251109,{'ID': '115_UK_DocF_V1_Ventilation'},greater-equal,free area,90,Each air terminal should have a free area of at least 90 of the free area of its associated duct.,Each air terminal should have a <e1>free area</e1> of at least <e2>90</e2> of the free area of its associated duct.
009e12eb-db83-485c-9ffc-e1f462251109,{'ID': '115_UK_DocF_V1_Ventilation'},necessity,air terminal,free area,Each air terminal should have a free area of at least 90 of the free area of its associated duct.,Each <e1>air terminal</e1> should have a <e2>free area</e2> of at least 90 of the free area of its associated duct.
00cded8a-5208-4c1b-bda4-9677d45b9375,{'ID': '105_Finnish_Health-Humidity'},necessity,layers,prevent the accumulation of damaging moisture into the roof structure resulting from water vapour diffusion or airflow,The layers of attic floor structures and the ventilation must prevent the accumulation of damaging moisture into the roof structure resulting from water vapour diffusion or airflow.,The <e1>layers</e1> of attic floor structures and the ventilation must <e2>prevent the accumulation of damaging moisture into the roof structure resulting from water vapour diffusion or airflow</e2>.
00cded8a-5208-4c1b-bda4-9677d45b9375,{'ID': '105_Finnish_Health-Humidity'},necessity,ventilation,prevent the accumulation of damaging moisture into the roof structure resulting from water vapour diffusion or airflow,The layers of attic floor structures and the ventilation must prevent the accumulation of damaging moisture into the roof structure resulting from water vapour diffusion or airflow.,The layers of attic floor structures and the <e1>ventilation</e1> must <e2>prevent the accumulation of damaging moisture into the roof structure resulting from water vapour diffusion or airflow</e2>.
01008f69-874b-443e-bcb2-2f5630280049,{'ID': '24_Finnish_SafetyOfUse'},less-equal,riser,220 millimetres,"If stairs are used only as an emergency exit and if they lead to spaces in a dwelling or accommodation facility other than those that are necessary for living, the riser may be no more than 220 millimetres and the tread must be no less than 220 millimetres.","If stairs are used only as an emergency exit and if they lead to spaces in a dwelling or accommodation facility other than those that are necessary for living, the <e1>riser</e1> may be no more than <e2>220 millimetres</e2> and the tread must be no less than 220 millimetres."
015b966c-962b-4505-b742-21eaabe0240a,{'ID': '130_UK_DocF_V1_Ventilation'},necessity,exhaust outlets,downwind of intakes,"Where there is a prevailing wind direction, exhaust outlets should be downwind of intakes.","Where there is a prevailing wind direction, <e1>exhaust outlets</e1> should be <e2>downwind of intakes</e2>."
01bd7c41-594c-4440-8058-c34f1c4bad09,{'ID': '82_UK_DocO_Overheating'},necessity,proportion,considered to provide useful ventilation,"When determining the free area available for ventilation during sleeping hours, only the proportion of openings that can be opened securely should be considered to provide useful ventilation.","When determining the free area available for ventilation during sleeping hours, only the <e1>proportion</e1> of openings that can be opened securely should be <e2>considered to provide useful ventilation</e2>."
01d924bf-4a69-4eb8-b05e-ce993aee3d45,{'ID': '135_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,Perimeter insulation,continuous,Perimeter insulation should be continuous and have a minimum thickness of 25mm.,<e1>Perimeter insulation</e1> should be <e2>continuous</e2> and have a minimum thickness of 25mm.
01d924bf-4a69-4eb8-b05e-ce993aee3d45,{'ID': '135_UK_DocL_V1_ConsrvationOfFuelAndPower'},greater-equal,thickness,25mm,Perimeter insulation should be continuous and have a minimum thickness of 25mm.,Perimeter insulation should be continuous and have a minimum <e1>thickness</e1> of <e2>25mm</e2>.
0219127c-2f2d-4b13-aafa-261c1fc39ffc,{'ID': '109_UK_DocM_V1_AccessAndUseOfBuildings'},necessity,power socket,close to the liftway,"A power socket, suitable for powering the lifting device, is provided close to the liftway.","A <e1>power socket</e1>, suitable for powering the lifting device, is provided <e2>close to the liftway</e2>."
0262f6e5-21bc-4312-9388-8ac93b79416d,{'ID': '285_UK_DocM_V2_AccessAndUseOfBuildings'},greater-equal,load EER,0.7,The minimum full load EER of the absorption chillers should be no worse than 0.7.,The minimum full <e1>load EER</e1> of the absorption chillers should be no worse than <e2>0.7</e2>.
